`Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2024-08-04,2024-08-05,XXXX,CREDIT-REWARD REDEMPTION,Payment/Credit,,12.55
2024-08-04,2024-08-05,XXXX,APHRODITE GREEK IMPORT,Merchandise,36.31,
2024-08-04,2024-08-05,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,80.0
2024-08-03,2024-08-05,XXXX,HARRIS TEETER,Merchandise,19.68,
2024-08-04,2024-08-05,XXXX,TST* DACHA SOMEWHERE,Dining,31.68,
2024-08-04,2024-08-05,XXXX,TST* DACHA SOMEWHERE,Dining,7.39,
2024-08-03,2024-08-05,XXXX,TST* DACHA SOMEWHERE,Dining,13.73,
2024-08-03,2024-08-05,XXXX,COOKIESBYDREW,Dining,2.54,
2024-08-03,2024-08-05,XXXX,SQ *LAYLA'S FOOD COMPA,Dining,5.0,
2024-08-03,2024-08-05,XXXX,SQ *METRO MICROGREENS,Merchandise,10.0,
2024-07-30,2024-08-01,XXXX,HARRIS TEETER,Merchandise,16.36,
2024-07-31,2024-07-31,XXXX,TST* WALTERS SPORTS BA,Dining,9.4,
2024-07-29,2024-07-31,XXXX,HARRIS TEETER,Merchandise,34.17,
2024-07-27,2024-07-29,XXXX,STARBUCKS 71218 340070,Dining,5.63,
2024-07-27,2024-07-27,XXXX,TST* NAUSET FARMS ONLI,Merchandise,3.3,
2024-07-26,2024-07-27,XXXX,TST* HOT CHOCOLATE SPA,Merchandise,4.32,
2024-07-26,2024-07-27,XXXX,TST* HOT CHOCOLATE SPA,Merchandise,7.01,
2024-07-25,2024-07-27,XXXX,SHAWS 0690,Merchandise,2.18,
2024-07-26,2024-07-27,XXXX,SQ *SUNBIRD ELSEWHERE,Dining,8.56,
2024-07-26,2024-07-27,XXXX,SQ *SUNBIRD ELSEWHERE,Dining,0.36,
2024-07-25,2024-07-27,XXXX,STOP & SHOP 0064,Merchandise,3.6,
2024-07-26,2024-07-27,XXXX,SQ *WHISK BREAKFAST &,Dining,3.0,
2024-07-15,2024-07-26,XXXX,UBER ONE STMT CRED XXXX,Other Travel,,4.0
2024-07-26,2024-07-26,XXXX,TST* THE CHATHAM SQUIR,Dining,9.6,
2024-07-25,2024-07-26,XXXX,SQ *SUNBIRD ELSEWHERE,Dining,16.9,
2024-07-24,2024-07-25,XXXX,SQ *ICE CREAM CAFE,Dining,3.44,
2024-07-24,2024-07-25,XXXX,SQ *WHISK BREAKFAST &,Dining,6.42,
2024-07-23,2024-07-24,XXXX,TST* HOT CHOCOLATE SPA,Merchandise,9.72,
2024-07-23,2024-07-24,XXXX,MAHONEYS ATLANTIC BAR,Dining,44.01,
2024-07-21,2024-07-22,XXXX,STOP & SHOP 0064,Merchandise,15.94,
2024-07-21,2024-07-22,XXXX,UBER   TRIP,Other Travel,14.06,
2024-07-20,2024-07-22,XXXX,LAND HO,Dining,7.6,
2024-07-20,2024-07-22,XXXX,TST* HOT CHOCOLATE SPA,Merchandise,2.13,
2024-07-20,2024-07-22,XXXX,SQ *WHISK BREAKFAST &,Dining,22.6,
2024-07-20,2024-07-20,XXXX,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,16.37,
2024-07-19,2024-07-20,XXXX,EXXON 2711 ORLEANS,Gas/Automotive,2.15,
2024-07-19,2024-07-20,XXXX,TST* HOT CHOCOLATE SPA,Merchandise,3.96,
2024-07-15,2024-07-20,XXXX,POLKA DOT PANINI,Dining,13.27,
2024-07-17,2024-07-18,XXXX,GEORGE'S BAKERY INC,Dining,23.0,
2024-07-16,2024-07-17,XXXX,TST* HOT CHOCOLATE SPA,Merchandise,3.42,
2024-07-16,2024-07-16,XXXX,CREDIT-REWARD REDEMPTION,Payment/Credit,,32.04
2024-07-16,2024-07-16,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,600.0
2024-07-15,2024-07-16,XXXX,UBER   ONE,Other Travel,4.0,
2024-07-15,2024-07-15,XXXX,MYBANK AUTOPAY PYMT,Payment/Credit,,10.0
2024-07-14,2024-07-15,XXXX,TST* GLENPHARMER DISTI,Dining,39.0,
2024-07-12,2024-07-13,XXXX,TST* THE HARP - PATRIO,Dining,26.31,
2024-07-12,2024-07-13,XXXX,TST* WORMTOWN BREWERY,Dining,8.48,
2024-07-08,2024-07-09,XXXX,BURGER KING #732,Dining,2.11,
2024-07-07,2024-07-08,XXXX,TST* TATTE BAKERY CITY,Dining,6.49,
2024-07-06,2024-07-08,XXXX,TST* UNCONVENTIONAL DI,Dining,21.12,
2024-07-06,2024-07-08,XXXX,SQ *LA COLOMBE - ULINE,Dining,5.61,
2024-07-05,2024-07-06,XXXX,TST* BOMBAY STREET FOO,Dining,34.32,
2024-07-05,2024-07-06,XXXX,TST* MAMAN - SOMEWHERE,Dining,8.58,
2024-07-04,2024-07-05,XXXX,TST* ANY DAY NOW,Dining,2.99,
2024-07-02,2024-07-04,XXXX,HARRIS TEETER,Merchandise,15.16,
2024-06-29,2024-07-01,XXXX,EAST POTOMAC GOLF COUR,Dining,5.22,
2024-06-30,2024-07-01,XXXX,SQ *LA COLOMBE - CHINA,Dining,4.73,
2024-06-28,2024-07-01,XXXX,HARRIS TEETER,Merchandise,40.35,
2024-06-28,2024-07-01,XXXX,HARRIS TEETER,Merchandise,14.5,
2024-06-29,2024-07-01,XXXX,SP COOKIESBYDREW,Dining,2.54,
2024-06-29,2024-07-01,XXXX,SQ *COMPASS COFFEE,Dining,0.72,
2024-06-29,2024-07-01,XXXX,SQ *METRO MICROGREENS,Merchandise,10.0,
2024-06-29,2024-07-01,XXXX,SQ *POTOMAC SWEETS,Merchandise,3.0,
2024-06-28,2024-06-29,XXXX,PAR*MAMAN - SOMEWHERES,Dining,8.02,
2024-06-28,2024-06-29,XXXX,DISTRICT WINERY,Dining,174.65,
2024-06-28,2024-06-29,XXXX,DISTRICT WINERY,Dining,21.12,
2024-06-28,2024-06-28,XXXX,TST* GREGORY'S COFFEE,Dining,4.31,
2024-06-27,2024-06-28,XXXX,COLDSTONE #23477,Dining,4.84,
2024-06-26,2024-06-28,XXXX,HARRIS TEETER,Merchandise,26.14,
2024-06-25,2024-06-27,XXXX,TORAI GRILL & SUSHI,Dining,22.01,
2024-06-15,2024-06-26,XXXX,UBER ONE STMT CRED XXXX,Other Travel,,4.0
2024-06-24,2024-06-25,XXXX,STARBUCKS 800-782-7282,Dining,2.4,
2024-06-23,2024-06-25,XXXX,CITY MARKET FOOD HALL,Dining,3.57,
2024-06-21,2024-06-24,XXXX,FS JOHNSON DRIVE,Dining,7.01,
2024-06-22,2024-06-22,XXXX,TST* THE REGATTA,Dining,7.76,
2024-06-20,2024-06-22,XXXX,BAR6101 LLC,Dining,6.27,
2024-06-20,2024-06-22,XXXX,TST* THAI ORCHID - MIS,Dining,9.12,
2024-06-20,2024-06-21,XXXX,TIPSYS LIQUOR,Merchandise,10.98,
2024-06-20,2024-06-21,XXXX,TST* THE SPOT,Dining,6.69,
2024-06-19,2024-06-21,XXXX,HARRIS TEETER,Merchandise,30.88,
2024-06-20,2024-06-21,XXXX,SQ *ROCKCREEK BREWING,Dining,2.16,
2024-06-19,2024-06-21,XXXX,COLONIAL CLUB,Dining,5.18,
2024-06-20,2024-06-21,XXXX,SQ *URBAN PRAIRIE COFF,Dining,5.64,
2024-06-19,2024-06-21,XXXX,TST* MUNI KC,Dining,23.18,
2024-06-20,2024-06-20,XXXX,UBER   EATS,Dining,5.53,
2024-06-18,2024-06-20,XXXX,TST* CHLOE - WASHINGTO,Dining,38.16,
2024-06-18,2024-06-19,XXXX,HT PLUS,Merchandise,39.6,
2024-06-16,2024-06-17,XXXX,TST* ANY DAY NOW,Dining,10.96,
2024-06-15,2024-06-17,XXXX,TWIN SPRINGS FRUIT FAR,Merchandise,2.0,
2024-06-15,2024-06-17,XXXX,UBER   ONE,Other Travel,4.0,
2024-06-15,2024-06-17,XXXX,SP COOKIESBYDREW,Dining,2.54,
2024-06-15,2024-06-17,XXXX,SQ *DIMITRI OLIVE OIL,Merchandise,18.8,
2024-06-14,2024-06-15,XXXX,TST* KABUL CASTLE KABO,Dining,14.95,
2024-06-15,2024-06-15,XXXX,MYBANK AUTOPAY PYMT,Payment/Credit,,10.0
2024-06-14,2024-06-15,XXXX,TST* JANE JANE,Dining,23.92,
2024-06-14,2024-06-15,XXXX,TST* SOMEWHERE IMPROV COMEDY,Dining,13.82,
2024-06-14,2024-06-15,XXXX,TST* MAMAN - SOMEWHERE,Dining,3.52,
2024-06-14,2024-06-15,XXXX,TST* RESIDENTS CAFE &,Dining,28.51,
2024-06-13,2024-06-14,XXXX,COLDSTONE #23477,Dining,4.4,
2024-06-12,2024-06-14,XXXX,BAR TACO WHARF ONE DIN,Dining,20.48,
2024-06-13,2024-06-13,XXXX,CREDIT-REWARD REDEMPTION,Payment/Credit,,50.98
2024-06-12,2024-06-13,XXXX,COLDSTONE #23477,Dining,4.4,
2024-06-11,2024-06-12,XXXX,TST* THE MAJESTIC,Dining,24.51,
2024-06-09,2024-06-10,XXXX,ROAST & CO CAFE,Dining,6.62,
2024-06-09,2024-06-10,XXXX,BAKERS DOZEN,Dining,8.45,
2024-06-07,2024-06-10,XXXX,BLEEKER STREET PIZZA,Dining,5.78,
2024-06-08,2024-06-10,XXXX,TST* NARA SUSHI,Dining,12.88,
2024-06-08,2024-06-10,XXXX,SQ *SMOOVE ICE CREAM,Merchandise,4.4,
2024-06-08,2024-06-10,XXXX,SQ *FRISSON ESPRESSO,Dining,3.45,
2024-06-08,2024-06-08,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,400.0
2024-06-07,2024-06-08,XXXX,MTA*NYCT PAYGO,Other Travel,1.16,
2024-06-07,2024-06-08,XXXX,MTA*NYCT PAYGO,Other Travel,1.16,
2024-06-07,2024-06-08,XXXX,MTA*NYCT PAYGO,Other Travel,1.16,
2024-06-06,2024-06-08,XXXX,SHELL OIL 910025836QPS,Gas/Automotive,2.06,
2024-06-06,2024-06-07,XXXX,TST* LUCKYS LAST CHANC,Dining,16.44,
2024-06-04,2024-06-06,XXXX,NAMASTE JALSA,Dining,19.18,
2024-06-05,2024-06-05,XXXX,TST* ESP TEA AND COFFE,Dining,2.66,
2024-06-03,2024-06-04,XXXX,LEVY@1WASHINGTONNATION,Dining,7.04,
2024-06-03,2024-06-04,XXXX,LEVY@1WASHINGTONNATION,Dining,2.2,
2024-06-02,2024-06-04,XXXX,2LEVY@SOMEWHEREUNI,Dining,6.16,
2024-06-02,2024-06-04,XXXX,2LEVY@SOMEWHEREUNI,Dining,7.04,
2024-06-02,2024-06-04,XXXX,2LEVY@SOMEWHEREUNI,Dining,3.08,
2024-06-02,2024-06-03,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,400.0
2024-06-01,2024-06-03,XXXX,2LEVY@SOMEWHEREUNI,Dining,6.29,
2024-06-01,2024-06-03,XXXX,2LEVY@SOMEWHEREUNI,Dining,13.19,
2024-06-02,2024-06-03,XXXX,BARCELONA 14TH STREET,Dining,13.95,
2024-06-01,2024-06-03,XXXX,SQ *F. J. MEDINA AND S,Other Services,3.6,
2024-05-31,2024-06-01,XXXX,CVS/PHARMACY #07102,Health Care,1.52,
2024-05-31,2024-06-01,XXXX,CVS/PHARMACY #07102,Health Care,0.95,
2024-05-31,2024-06-01,XXXX,SQ *FOR FIVE COFFEE 80,Dining,7.39,
2024-05-29,2024-05-29,XXXX,TST* ESP TEA AND COFFE,Dining,4.99,
2024-05-27,2024-05-28,XXXX,THE WESTIN BEACH RESOR,Dining,7.75,
2024-05-28,2024-05-28,XXXX,UBER   TRIP,Other Travel,5.88,
2024-05-28,2024-05-28,XXXX,UBER   TRIP,Other Travel,8.79,
2024-05-27,2024-05-28,XXXX,SQ *MEDITERRANEAN DELI,Merchandise,5.6,
2024-05-27,2024-05-28,XXXX,SQ *FRESH ORGANICS AND,Merchandise,0.4,
2024-05-15,2024-05-27,XXXX,UBER ONE STMT CRED XXXX,Other Travel,,4.0
2024-05-22,2024-05-23,XXXX,TST* HAVANA 1957 ESPAN,Dining,30.44,
2024-05-22,2024-05-22,XXXX,TST* HEN QUARTER - OLD,Dining,28.42,
2024-05-21,2024-05-21,XXXX,MYBANK MEMBER FEE,Fee/Interest Charge,38.0,
2024-05-21,2024-05-21,XXXX,UBER   EATS,Dining,1.09,
2024-05-21,2024-05-21,XXXX,UBER   EATS,Dining,10.56,
2024-05-19,2024-05-21,XXXX,SANTINI S MCLEAN,Dining,13.51,
2024-05-19,2024-05-20,XXXX,SPICYWATER AFRICAN GRI,Dining,7.4,
2024-05-19,2024-05-20,XXXX,SQ *CONCEPTOS CREATIVO,Dining,5.09,
2024-05-19,2024-05-20,XXXX,UBER   TRIP,Other Travel,3.89,
2024-05-18,2024-05-20,XXXX,TST* UNCONVENTIONAL DI,Dining,152.59,
2024-05-18,2024-05-20,XXXX,SQ *BEN & JERRY'S DIST,Dining,5.72,
2024-05-16,2024-05-17,XXXX,HARRISTEETER #383,Merchandise,19.87,
2024-05-16,2024-05-16,XXXX,TST* TATTE BAKERY - FA,Dining,4.62,
2024-05-15,2024-05-16,XXXX,UBER   ONE,Other Travel,4.0,
2024-05-15,2024-05-16,XXXX,SQ *LA COLOMBE - FARRA,Dining,5.61,
2024-05-14,2024-05-15,XXXX,HARRIS TEETER #486,Merchandise,9.75,
2024-05-13,2024-05-14,XXXX,CHIPOTLE 1936,Dining,6.26,
2024-05-10,2024-05-11,XXXX,FOX S PIZZA RESTAURANT,Dining,6.71,
2024-05-10,2024-05-11,XXXX,COLDSTONE #23477,Dining,8.58,
2024-05-10,2024-05-10,XXXX,TST* TATTE BAKERY - WE,Dining,6.82,
2024-05-09,2024-05-10,XXXX,TST* CALL YOUR MOTHER,Dining,4.62,
2024-05-08,2024-05-09,XXXX,MAMAN ORDER,Dining,0.88,
2024-05-08,2024-05-08,XXXX,MYBANK ONLINE PYMT,Payment/Credit,,200.0
2024-05-05,2024-05-07,XXXX,HARRIS TEETER,Merchandise,63.42,
2024-05-04,2024-05-06,XXXX,TST* OPEN CITY NATIONA,Dining,4.4,
2024-05-04,2024-05-06,XXXX,SQ *MATCHA CAFE MAIKO,Dining,4.8,
2024-05-04,2024-05-06,XXXX,GEORGETOWN CUPCAKE,Dining,6.95,
2024-05-03,2024-05-06,XXXX,HARRIS TEETER,Merchandise,15.78,
2024-05-02,2024-05-03,XXXX,SQ *FOR FIVE COFFEE 80,Dining,2.94,
2024-05-01,2024-05-02,XXXX,COLDSTONE #23477,Dining,4.25,
2024-04-30,2024-05-02,XXXX,HARRIS TEETER,Merchandise,18.34,
2024-05-01,2024-05-02,XXXX,MAMAN ORDER,Dining,1.98,
2024-05-01,2024-05-01,XXXX,TST* ZAYTINYA,Dining,33.8,
2024-04-29,2024-05-01,XXXX,HARRIS TEETER,Merchandise,20.79,
2024-04-27,2024-04-30,XXXX,ROYAL SONESTA HOTEL NE,Dining,15.13,
2024-04-28,2024-04-30,XXXX,FRANKS RESTAURANT,Dining,12.03,
2024-04-27,2024-04-29,XXXX,CAFE DU MONDE - CITY P,Dining,5.2,
2024-04-28,2024-04-29,XXXX,UBER   TRIP,Other Travel,10.77,
2024-04-28,2024-04-29,XXXX,SQ *CAFE AMELIE,Dining,27.2,
2024-04-27,2024-04-29,XXXX,COURT OF TWO SISTERS R,Dining,52.41,
2024-04-27,2024-04-29,XXXX,THE VERTI MARTE,Dining,14.26,
2024-04-26,2024-04-29,XXXX,TST* FRENCH TRUCK COFF,Dining,5.84,
2024-04-26,2024-04-27,XXXX,TST* THE NAPOLEON HOUS,Dining,29.64,
2024-04-26,2024-04-27,XXXX,TST* ATCHAFALAYA RESTA,Dining,30.74,
2024-04-26,2024-04-27,XXXX,THE CHICORY HOUSE,Dining,2.65,
2024-04-26,2024-04-27,XXXX,SQ *SOUTHERN CANDYMAKE,Merchandise,7.82,
2024-04-24,2024-04-27,XXXX,ROYAL SONESTA HOTEL NE,Dining,15.15,
2024-04-26,2024-04-27,XXXX,LAFITTE'S BLACKSMITH,Dining,4.78,
2024-04-26,2024-04-27,XXXX,LAFITTE'S BLACKSMITH,Dining,16.35,
2024-04-26,2024-04-27,XXXX,NOLA POBOYS,Dining,7.51,
2024-04-15,2024-04-26,XXXX,UBER ONE STMT CRED XXXX,Other Travel,,4.0
2024-04-26,2024-04-26,XXXX,TST* FRENCH TRUCK COFF,Dining,9.04,
2024-04-25,2024-04-26,XXXX,TST* PALACE CAFE,Dining,31.39,
2024-04-25,2024-04-25,XXXX,TST* FRENCH TRUCK COFF,Dining,5.49,
2024-04-24,2024-04-25,XXXX,CAFE BEIGNET BOURBON,Dining,2.65,
2024-04-24,2024-04-25,XXXX,TST* BRENNANS,Dining,73.05,
2024-04-24,2024-04-25,XXXX,AUNT SALLYS PRALINE S,Merchandise,2.53,
2024-04-23,2024-04-25,XXXX,LE BAYOU,Dining,36.57,
2024-04-23,2024-04-25,XXXX,STARBUCKS MAIN WEST MS,Dining,2.69,
2024-04-24,2024-04-25,XXXX,THE SPOTTED CAT MUSIC,Dining,13.33,
2024-04-24,2024-04-25,XXXX,THE SPOTTED CAT MUSIC,Dining,13.06,
2024-04-23,2024-04-25,XXXX,MAMBOS,Dining,20.8,
2024-04-22,2024-04-23,XXXX,YELP-GRUBHUBKAIJURAME,Dining,17.12,
