Account Number,Transaction Description,Transaction Date,Transaction Type,Transaction Amount,Balance
X#X#,Withdrawal from MYBANK CRCARDPMT,08/07/24,Debit,14.67,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,08/05/24,Debit,88.89,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,08/05/24,Debit,88.89,XX.XX
X#X#,Withdrawal from LANDLORDMANAGEMEN WEB PMTS,08/02/24,Debit,1878.61,XX.XX
X#X#,Deposit from MYINVESTMENTACCT SELL INVESTMENT,08/01/24,Credit,444.44,XX.XX
X#X#,Monthly Interest Paid,07/31/24,Credit,0.08,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,07/31/24,Credit,5.51,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,07/31/24,Credit,77.78,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,07/29/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,07/29/24,Debit,44.44,XX.XX
X#X#,Withdrawal from MYINTERNET PAYMENTREC,07/29/24,Debit,40.0,XX.XX
X#X#,Deposit from VENMO CASHOUT,07/29/24,Credit,50.67,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,07/28/24,Debit,22.22,XX.XX
X#X#,"ATM Withdrawal - WALGREENS #1-A03 WA039659 ORLEANS, MA",07/24/24,Debit,8.89,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,07/24/24,Credit,1423.48,XX.XX
X#X#,"ATM Withdrawal - WALGREENS #1-A03 WA039659 ORLEANS, MA",07/23/24,Debit,17.78,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,07/16/24,Credit,88.89,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,07/15/24,Debit,11.11,XX.XX
X#X#,Check Deposit (Mobile),07/15/24,Credit,8.89,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,07/12/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,07/12/24,Debit,44.44,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,07/12/24,Debit,15.56,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,07/11/24,Debit,102.22,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,07/10/24,Debit,1333.33,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,07/09/24,Credit,1558.6,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,07/08/24,Debit,27.11,XX.XX
X#X#,Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,07/08/24,Debit,38.12,XX.XX
X#X#,Deposit from VENMO CASHOUT,07/05/24,Credit,44.44,XX.XX
X#X#,Deposit from Cash App * Cash App,07/03/24,Credit,44.44,XX.XX
X#X#,Withdrawal from LANDLORDMANAGEMEN WEB PMTS,07/02/24,Debit,1853.32,XX.XX
X#X#,Deposit from VENMO CASHOUT,07/01/24,Credit,151.36,XX.XX
X#X#,Monthly Interest Paid,06/30/24,Credit,0.06,XX.XX
X#X#,Deposit from Somebodys Savings Account XXXXXXX#X#,06/29/24,Credit,815.48,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,06/27/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,06/27/24,Debit,44.44,XX.XX
X#X#,Withdrawal from MYINTERNET PAYMENTREC,06/27/24,Debit,40.0,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,06/24/24,Credit,1423.48,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,06/17/24,Debit,11.11,XX.XX
X#X#,Deposit from Cash App * Cash App,06/17/24,Credit,4.44,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,06/14/24,Credit,133.33,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT BPF_DSS_0_0613115502.txt,06/13/24,Debit,129.63,XX.XX
X#X#,Deposit from Somebodys Savings Account XXXXXXX#X#,06/12/24,Credit,133.33,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,06/12/24,Debit,44.44,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,06/10/24,Debit,888.89,XX.XX
X#X#,Withdrawal from MYBANK MOBILE PMT,06/10/24,Debit,444.44,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,06/10/24,Debit,133.33,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,06/08/24,Debit,133.33,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,06/08/24,Credit,1558.61,XX.XX
X#X#,Withdrawal from MYBANK CRCARDPMT,06/07/24,Debit,11.56,XX.XX
X#X#,Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,06/07/24,Debit,41.51,XX.XX
X#X#,Withdrawal to Someones Checking Account XXXXXXXX#X#,06/06/24,Debit,44.44,XX.XX
X#X#,Withdrawal from LANDLORDMANAGEMEN WEB PMTS,06/03/24,Debit,1847.12,XX.XX
X#X#,Withdrawal from MYOTHERBANK CREDIT CRD EPAY,06/03/24,Debit,154.33,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,06/02/24,Credit,155.56,XX.XX
X#X#,Monthly Interest Paid,05/31/24,Credit,0.08,XX.XX
X#X#,Withdrawal from MYINTERNET PAYMENTREC,05/29/24,Debit,40.0,XX.XX
X#X#,Check Deposit (Mobile),05/28/24,Credit,44.44,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,05/28/24,Credit,133.33,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,05/28/24,Debit,129.63,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,05/28/24,Debit,44.44,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,05/27/24,Credit,88.89,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/24/24,Debit,62.22,XX.XX
X#X#,Withdrawal from VENMO PAYMENT,05/24/24,Debit,24.0,XX.XX
X#X#,Deposit from MYEMPLOYER DIRECT DEP,05/22/24,Credit,1423.48,XX.XX
X#X#,Deposit from Someones Checking Account XXXXXXXX#X#,05/22/24,Credit,444.44,XX.XX
X#X#,Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,05/13/24,Debit,129.63,XX.XX
