Description,Category
Deposit from MYINVESTMENTACCT SELL INVESTMENT,Income
Deposit from Someones Checking Account XXXXXXXX#X#,Income
Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,Housing
Withdrawal from MYBANK CRCARDPMT,Utility
Zelle money received from NADJI TOUAHRIA,Utility
Deposit from OTHEREMPLOYER PAY 456462,Income
Zelle money received from NADJI TOUAHRIA,P2P Expense
Deposit from Someones Checking Account XXXXXXXX#X#,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from Someones Checking Account,Income
Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,Transfer
Deposit from OTHEREMPLOYER PAY 866455,Income
Withdrawal to Someones Checking Account,Utility
Monthly Interest Paid,Income
Deposit from OTHEREMPLOYER PAY 456462,Income
Deposit from OTHEREMPLOYER PAY 456462,Income
Withdrawal from MYBANK CRCARDPMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Check Deposit (Mobile),Income
Deposit from Someones Checking Account XXXXXXXX#X#,Income
Withdrawal from INVESTACCT BUY INVESTMENT,Transfer
Zelle money sent to Somebody,Utility
Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,Transfer
Withdrawal from MYOTHERBANK CREDIT CRD EPAY,Housing
"ATM Withdrawal - WALGREENS #1-A03 WA039659 ORLEANS, MA",Utility
Withdrawal from MYINTERNET PAYMENTREC,Transfer
Withdrawal from MYINTERNET PAYMENTREC,Utility
Withdrawal from LANDLORDMANAGEMEN WEB PMTS,Transfer
Deposit from MYEMPLOYER DIRECT DEP,Income
Monthly Interest Paid,Income
Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,Housing
Zelle money sent to Somebody,Income
Withdrawal from MYOTHERBANK CREDIT CRD EPAY,Transfer
Withdrawal to Someones Checking Account,Housing
Withdrawal from MYBANK CRCARDPMT,Utility
Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,Transfer
Check Deposit (Mobile),Income
Withdrawal to Someones Checking Account XXXXXXXX#X#,Transfer
Zelle money received from NADJI TOUAHRIA,P2P Expense
Withdrawal from MYINTERNET PAYMENTREC,Transfer
Withdrawal from BANKACCT MOBILE PMT,Transfer
Deposit from OTHEREMPLOYER PAY 456462,Income
Deposit from OTHEREMPLOYER PAY 456462,Income
Zelle money sent to Somebody,Income
Withdrawal to Someones Checking Account,Housing
Deposit from OTHEREMPLOYER PAY 866455,Income
Deposit from VENMO CASHOUT,Income
Withdrawal from MYOTHERBANK CREDIT CRD EPAY,Transfer
Withdrawal from MYOTHERBANK CREDIT CRD EPAY,Utility
Zelle money received from NADJI TOUAHRIA,Housing
Zelle money received from NADJI TOUAHRIA,P2P Expense
Monthly Interest Paid,Income
Zelle money sent to Somebody,Transfer
Deposit from OTHEREMPLOYER PAY 456462,Income
Withdrawal to Someones Checking Account,Housing
Monthly Interest Paid,Income
Zelle money received from NADJI TOUAHRIA,Income
Zelle money received from NADJI TOUAHRIA,Transfer
Withdrawal from BANKACCT MOBILE PMT,Transfer
Withdrawal from MYINVESTMENTACCT BUY INVESTMENT,Transfer
Deposit from OTHEREMPLOYER PAY 456462,Income
Zelle money sent to Somebody,Housing
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from MYOTHERBANK CREDIT CRD EPAY,Housing
Deposit from VENMO CASHOUT,Income
"ATM Withdrawal - WALGREENS #1-A03 WA039659 ORLEANS, MA",Housing
Deposit from Someones Checking Account XXXXXXXX#X#,Income
Deposit from OTHEREMPLOYER PAY 866455,Income
Zelle money sent to Somebody,Income
Withdrawal from MYOTHERBANK CREDIT CRD EPAY,Utility
Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,Utility
Monthly Interest Paid,Income
Withdrawal from MYINTERNET PAYMENTREC,Housing
Withdrawal from BANKACCT MOBILE PMT,Transfer
Withdrawal from MYBANK MOBILE PMT,Transfer
Withdrawal to Someones Checking Account,Utility
Deposit from OTHEREMPLOYER PAY 866455,Income
Deposit from MYINVESTMENTACCT SELL INVESTMENT,Income
Withdrawal to Someones Checking Account,Transfer
Withdrawal from INVESTACCT BUY INVESTMENT,Transfer
Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,Utility
Deposit from Someones Checking Account,Income
Deposit from VENMO CASHOUT,Income
Withdrawal to Someones Checking Account XXXXXXXX#X#,Transfer
Deposit from MYEMPLOYER DIRECT DEP,Income
Deposit from Someones Checking Account,Income
Withdrawal from MYBANK MOBILE PMT,Transfer
Withdrawal from MYINTERNET PAYMENTREC,Utility
Withdrawal from MYBANK MOBILE PMT,Transfer
Withdrawal from GAS SUPPLIER PAYMENTUS BILLPAY,Transfer
Withdrawal from MYBANK CRCARDPMT,Utility
Deposit from OTHEREMPLOYER PAY 866455,Income
Deposit from OTHEREMPLOYER PAY 866455,Income
Deposit from OTHEREMPLOYER PAY 866455,Income
Withdrawal from LANDLORDMANAGEMEN WEB PMTS,Housing
Withdrawal from BANKACCT MOBILE PMT,Transfer
Withdrawal from INVESTACCT BUY INVESTMENT,Transfer
Withdrawal to Someones Checking Account,Housing
Deposit from VENMO CASHOUT,Income
Withdrawal to Someones Checking Account,Housing
Deposit from VENMO CASHOUT,Income
Deposit from OTHEREMPLOYER PAY 866455,Income
Withdrawal from LANDLORDMANAGEMEN WEB PMTS,Utility
Withdrawal from VENMO PAYMENT,P2P Expense
